"Trusted Shops Reviews","Trusted Shops Bewertungen"
"Trusted Shops Customer Review Management","Trusted Shops Kundenbewertungs Management"
"Settings (Please configure TSID, API User and Password on store view scope)","Einstellungen (Bitte konfigurieren Sie TS-ID, API Benutzername und Passwort auf Storeview Ebene)"
"TSID","TS-ID"
"API User","API Benutzername"
"API Password","API Passwort"
"Cron Scheduling","Aktualisierung ber Cron"
"Daily automatic import","Automatischer Import (täglich)"
"Yes","Ja"
"No","Nein"
"Excellent","Sehr Gut"
"Good","Gut"
"Fair","Befriedigend"
"Poor","Ausreichend"
"Very Poor","Mangelhaft"
"Rewies import for time period %1$s to %2$s has been successfully completed.","Die Bewertungen im Zeitraum %1$s bis %2$s konnten erfolgreich importiert werden."
"Reached maximum (%1$s) reviews import for time periode %2$s to %3$s, please choose a smaller time period.","Die maximale Anzahl von API Anfragen wurde berschritten fr den gew„hlten Zeitraum %$1s bis %$2s. Bitte grenzen Sie den Zeitraum ein"
"%s Reviews has been created.","%s Bewertungen wurden neu importiert."
"%s Reviews has been updated.","%s Bewertungen wurden aktualisiert."
"TS Review Managemen store configuration error.","TS Review Management: Fehler der Store Konfiguration."
"Configuration","Konfiguration"
"Import Reviews","Bewertungen Importieren"
"Store","Store"
"Start Date","Import Startdatum"
"End Date","Import Enddatum"
"Import","Bewertungen importieren"
"No configuration available.","Kein Store konfiguriert."
"Other Reviews","Weitere Bewertungen"
"Reviews with reference","Bewertungen zu Shopbestellungen"
"Order","Bestellung"
"Order Date","Bestelldatum"
"Review Date","Datum der Bewertung"
"Mark","Mark"
"Overall Score","Gesamtbewertung"
"Cart Amount","Warenkorb"
"Criterion","Bewertungskategorie"
"Customer Review","Kundenbewertung"
"Delivery","Lieferung"
"Goods","Ware"
"Service","Service"
"Comment","Bewertung"
"Statement","Shopkommentar"
"Shop Statement","Shopkommentar"
"Shop Statement Date","Datum Shopkommentar"
"Order Reference","Bestellreferenz"
"Review","Bewertung"
"Review Details","Bewertungsdetails"
"UID","UID"
"Creation Date","Bewertungsdatum"
"Change Date","Letzte Änderung"
"Confirmation Date","Bestätigt am"
"Consumer Email","E-Mail Adresse"
"Shop","Shop"
"URL","URL"
"Name","Name"
"Language","Sprache"
"Target Market","Zielmarkt"
"Failed to load the review data.","Die Daten zu dieser Bewertung konnten nicht geladen werden."
"DELIVERY","LIEFERUNG"
"GOODS","WARE"
"SERVICE","SERVICE"
"Service Error: %1$s - %2$s","Service Error: %1$s - %2$s"
"Service Error: %1$s/%2$s - %3$s","Service Error: %1$s/%2$s - %3$s"
"Store Id: %1$s - %2$s","Store Id: %1$s - %2$s"
"TS_ID_INVALID","Die TS-ID ist ungültig"
"RESTRICTED_CONTENT_EXCLUDED","Der Server verweigert den Zugriff."
"TS_ID_NOT_FOUND","Die eingegebene TS-ID existiert nicht."
"BAD_REQUEST ERROR","Ungltige Anfrage. Bitte prfen Sie die angegebenen Parameter."
"FORBIDDEN","Zugriff verweigert"
"NOT_FOUND","Ungültige URL. Die angeforderte Resource existiert nicht."
"INTERNAL_SERVER_ERROR","Interner Server-Error"
"Delete Imported Store Reviews","Importierte Bewertungsdaten löschen"
"Delete","Löschen"
"The store reviews has been deleted.","Die Bewertungsdaten wurden gelöscht."
